"_id","_index","_score",category,"category.keyword",currency,"customer_first_name","customer_first_name.keyword","customer_full_name","customer_full_name.keyword","customer_gender","customer_id","customer_last_name","customer_last_name.keyword","customer_phone","day_of_week","day_of_week_i",email,"event.dataset","geoip.city_name","geoip.continent_name","geoip.country_iso_code","geoip.location","geoip.region_name",manufacturer,"manufacturer.keyword","order_date","order_id","products._id","products._id.keyword","products.base_price","products.base_unit_price","products.category","products.category.keyword","products.created_on","products.discount_amount","products.discount_percentage","products.manufacturer","products.manufacturer.keyword","products.min_price","products.price","products.product_id","products.product_name","products.product_name.keyword","products.quantity","products.sku","products.tax_amount","products.taxful_price","products.taxless_price","products.unit_discount_amount",sku,"taxful_total_price","taxless_total_price","total_quantity","total_unique_products",type,user
"_IOFm5oBSErIf1UmOqL_","kibana_sample_data_ecommerce","-","Men's Clothing, Men's Accessories","Men's Clothing, Men's Accessories",EUR,"Sultan Al","Sultan Al","Sultan Al Gregory","Sultan Al Gregory",MALE,19,Gregory,Gregory,"(empty)",Wednesday,2,"sultan al@gregory-family.zzz","sample_ecommerce","Abu Dhabi",Asia,AE,"POINT (54.4 24.5)","Abu Dhabi","Spritechnologies, Low Tide Media","Spritechnologies, Low Tide Media","Nov 19, 2025 @ 13:12:14.000",568363,"sold_product_568363_19188, sold_product_568363_14507","sold_product_568363_19188, sold_product_568363_14507","$20.98, $115.00","$20.98, $115.00","Men's Clothing, Men's Accessories","Men's Clothing, Men's Accessories","Dec 14, 2016 @ 13:12:14.000, Dec 14, 2016 @ 13:12:14.000","0, 0","0, 0","Spritechnologies, Low Tide Media","Spritechnologies, Low Tide Media","$9.45, $59.78","$20.98, $115.00","19,188, 14,507","Swimming shorts - dark grey , Weekend bag - black","Swimming shorts - dark grey , Weekend bag - black","1, 1","ZO0629806298, ZO0467104671","0, 0","$20.98, $115.00","$20.98, $115.00","0, 0","ZO0629806298, ZO0467104671","$136","$136.00",2,2,order,sultan
1IOFm5oBSErIf1UmOKGS,"kibana_sample_data_ecommerce","-","Men's Clothing","Men's Clothing",EUR,Wagdi,Wagdi,"Wagdi Cook","Wagdi Cook",MALE,15,Cook,Cook,"(empty)",Wednesday,2,"wagdi@cook-family.zzz","sample_ecommerce","-",Asia,SA,"POINT (45 25)","-","Low Tide Media, Oceanavigations","Low Tide Media, Oceanavigations","Nov 19, 2025 @ 13:06:29.000",568360,"sold_product_568360_13315, sold_product_568360_18355","sold_product_568360_13315, sold_product_568360_18355","$11.99, $65.00","$11.99, $65.00","Men's Clothing, Men's Clothing","Men's Clothing, Men's Clothing","Dec 14, 2016 @ 13:06:29.000, Dec 14, 2016 @ 13:06:29.000","0, 0","0, 0","Low Tide Media, Oceanavigations","Low Tide Media, Oceanavigations","$5.40, $32.50","$11.99, $65.00","13,315, 18,355","5 PACK - Socks - blue/red/grey/green/black, Suit jacket - offwhite","5 PACK - Socks - blue/red/grey/green/black, Suit jacket - offwhite","1, 1","ZO0480304803, ZO0274402744","0, 0","$11.99, $65.00","$11.99, $65.00","0, 0","ZO0480304803, ZO0274402744","$77","$77.00",2,2,order,wagdi
k4OFm5oBSErIf1UmMZhV,"kibana_sample_data_ecommerce","-","Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes",EUR,"Rabbia Al","Rabbia Al","Rabbia Al Massey","Rabbia Al Massey",FEMALE,5,Massey,Massey,"(empty)",Wednesday,2,"rabbia al@massey-family.zzz","sample_ecommerce",Dubai,Asia,AE,"POINT (55.3 25.3)",Dubai,"Tigress Enterprises MAMA, Champion Arts, Microlutions, Primemaster","Tigress Enterprises MAMA, Champion Arts, Microlutions, Primemaster","Nov 19, 2025 @ 13:05:02.000",732546,"sold_product_732546_17971, sold_product_732546_18249, sold_product_732546_18483, sold_product_732546_18726","sold_product_732546_17971, sold_product_732546_18249, sold_product_732546_18483, sold_product_732546_18726","$36.00, $24.98, $20.98, $140.00","$36.00, $24.98, $20.98, $140.00","Women's Clothing, Women's Clothing, Women's Clothing, Women's Shoes","Women's Clothing, Women's Clothing, Women's Clothing, Women's Shoes","Dec 14, 2016 @ 13:05:02.000, Dec 14, 2016 @ 13:05:02.000, Dec 14, 2016 @ 13:05:02.000, Dec 14, 2016 @ 13:05:02.000","0, 0, 0, 0","0, 0, 0, 0","Tigress Enterprises MAMA, Champion Arts, Microlutions, Primemaster","Tigress Enterprises MAMA, Champion Arts, Microlutions, Primemaster","$19.06, $13.74, $10.08, $64.38","$36.00, $24.98, $20.98, $140.00","17,971, 18,249, 18,483, 18,726","Jersey dress - navy/offwhite, Hoodie - off-white, Print T-shirt - olive night, High heeled boots - stone","Jersey dress - navy/offwhite, Hoodie - off-white, Print T-shirt - olive night, High heeled boots - stone","1, 1, 1, 1","ZO0228602286, ZO0502605026, ZO0108901089, ZO0362503625","0, 0, 0, 0","$36.00, $24.98, $20.98, $140.00","$36.00, $24.98, $20.98, $140.00","0, 0, 0, 0","ZO0228602286, ZO0502605026, ZO0108901089, ZO0362503625","$222","$222.00",4,4,order,rabbia
I4OFm5oBSErIf1UmLZPs,"kibana_sample_data_ecommerce","-","Men's Accessories, Men's Shoes","Men's Accessories, Men's Shoes",EUR,Youssef,Youssef,"Youssef Porter","Youssef Porter",MALE,31,Porter,Porter,"(empty)",Wednesday,2,"youssef@porter-family.zzz","sample_ecommerce","New York","North America",US,"POINT (-74 40.8)","New York","Oceanavigations, Low Tide Media","Oceanavigations, Low Tide Media","Nov 19, 2025 @ 12:53:31.000",568350,"sold_product_568350_14392, sold_product_568350_24934","sold_product_568350_14392, sold_product_568350_24934","$42.00, $50.00","$42.00, $50.00","Men's Accessories, Men's Shoes","Men's Accessories, Men's Shoes","Dec 14, 2016 @ 12:53:31.000, Dec 14, 2016 @ 12:53:31.000","0, 0","0, 0","Oceanavigations, Low Tide Media","Oceanavigations, Low Tide Media","$21.41, $22.50","$42.00, $50.00","14,392, 24,934","Zantos - Wash bag - black, Lace-up boots - resin coffee","Zantos - Wash bag - black, Lace-up boots - resin coffee","1, 1","ZO0317303173, ZO0403504035","0, 0","$42.00, $50.00","$42.00, $50.00","0, 0","ZO0317303173, ZO0403504035","$92","$92.00",2,2,order,youssef
i4OFm5oBSErIf1UmOKGS,"kibana_sample_data_ecommerce","-","Men's Clothing","Men's Clothing",EUR,Abd,Abd,"Abd Mcdonald","Abd Mcdonald",MALE,52,Mcdonald,Mcdonald,"(empty)",Wednesday,2,"abd@mcdonald-family.zzz","sample_ecommerce",Cairo,Africa,EG,"POINT (31.3 30.1)","Cairo Governorate","Oceanavigations, Low Tide Media, Elitelligence","Oceanavigations, Low Tide Media, Elitelligence","Nov 19, 2025 @ 12:53:31.000",723213,"sold_product_723213_6457, sold_product_723213_19528, sold_product_723213_12063, sold_product_723213_14510","sold_product_723213_6457, sold_product_723213_19528, sold_product_723213_12063, sold_product_723213_14510","$28.98, $20.98, $20.98, $33.00","$28.98, $20.98, $20.98, $33.00","Men's Clothing, Men's Clothing, Men's Clothing, Men's Clothing","Men's Clothing, Men's Clothing, Men's Clothing, Men's Clothing","Dec 14, 2016 @ 12:53:31.000, Dec 14, 2016 @ 12:53:31.000, Dec 14, 2016 @ 12:53:31.000, Dec 14, 2016 @ 12:53:31.000","0, 0, 0, 0","0, 0, 0, 0","Oceanavigations, Low Tide Media, Elitelligence, Oceanavigations","Oceanavigations, Low Tide Media, Elitelligence, Oceanavigations","$15.36, $11.12, $9.87, $15.18","$28.98, $20.98, $20.98, $33.00","6,457, 19,528, 12,063, 14,510","Jumper - offwhite, Sweatshirt - navy, Cardigan - offwhite multicolor, Shirt - grey multicolor","Jumper - offwhite, Sweatshirt - navy, Cardigan - offwhite multicolor, Shirt - grey multicolor","1, 1, 1, 1","ZO0297802978, ZO0456704567, ZO0572105721, ZO0280502805","0, 0, 0, 0","$28.98, $20.98, $20.98, $33.00","$28.98, $20.98, $20.98, $33.00","0, 0, 0, 0","ZO0297802978, ZO0456704567, ZO0572105721, ZO0280502805","$103.94","$103.94",4,4,order,abd
"_oOFm5oBSErIf1UmK5E4","kibana_sample_data_ecommerce","-","Men's Shoes","Men's Shoes",EUR,Kamal,Kamal,"Kamal Greene","Kamal Greene",MALE,39,Greene,Greene,"(empty)",Wednesday,2,"kamal@greene-family.zzz","sample_ecommerce",Istanbul,Asia,TR,"POINT (29 41)",Istanbul,"Low Tide Media, Elitelligence","Low Tide Media, Elitelligence","Nov 19, 2025 @ 12:24:43.000",568331,"sold_product_568331_11375, sold_product_568331_14190","sold_product_568331_11375, sold_product_568331_14190","$42.00, $28.98","$42.00, $28.98","Men's Shoes, Men's Shoes","Men's Shoes, Men's Shoes","Dec 14, 2016 @ 12:24:43.000, Dec 14, 2016 @ 12:24:43.000","0, 0","0, 0","Low Tide Media, Elitelligence","Low Tide Media, Elitelligence","$19.73, $13.34","$42.00, $28.98","11,375, 14,190","Lace-ups - Midnight Blue, Trainers - grey","Lace-ups - Midnight Blue, Trainers - grey","1, 1","ZO0385903859, ZO0516605166","0, 0","$42.00, $28.98","$42.00, $28.98","0, 0","ZO0385903859, ZO0516605166","$71","$71.00",2,2,order,kamal
04OFm5oBSErIf1UmOKGS,"kibana_sample_data_ecommerce","-","Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes",EUR,Thad,Thad,"Thad Carr","Thad Carr",MALE,30,Carr,Carr,"(empty)",Wednesday,2,"thad@carr-family.zzz","sample_ecommerce","New York","North America",US,"POINT (-74 40.8)","New York","Oceanavigations, Low Tide Media","Oceanavigations, Low Tide Media","Nov 19, 2025 @ 12:20:24.000",568325,"sold_product_568325_11553, sold_product_568325_17851","sold_product_568325_11553, sold_product_568325_17851","$140.00, $50.00","$140.00, $50.00","Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes","Dec 14, 2016 @ 12:20:24.000, Dec 14, 2016 @ 12:20:24.000","0, 0","0, 0","Oceanavigations, Low Tide Media","Oceanavigations, Low Tide Media","$72.81, $25.98","$140.00, $50.00","11,553, 17,851","Leather jacket - camel, Casual lace-ups - dark blue","Leather jacket - camel, Casual lace-ups - dark blue","1, 1","ZO0288202882, ZO0391803918","0, 0","$140.00, $50.00","$140.00, $50.00","0, 0","ZO0288202882, ZO0391803918","$190","$190.00",2,2,order,thad
"-4OFm5oBSErIf1UmOqL_","kibana_sample_data_ecommerce","-","Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes",EUR,Jackson,Jackson,"Jackson Summers","Jackson Summers",MALE,13,Summers,Summers,"(empty)",Wednesday,2,"jackson@summers-family.zzz","sample_ecommerce","Los Angeles","North America",US,"POINT (-118.2 34.1)",California,"Elitelligence, Low Tide Media","Elitelligence, Low Tide Media","Nov 19, 2025 @ 12:16:05.000",568319,"sold_product_568319_16715, sold_product_568319_24934","sold_product_568319_16715, sold_product_568319_24934","$28.98, $50.00","$28.98, $50.00","Men's Clothing, Men's Shoes","Men's Clothing, Men's Shoes","Dec 14, 2016 @ 12:16:05.000, Dec 14, 2016 @ 12:16:05.000","0, 0","0, 0","Elitelligence, Low Tide Media","Elitelligence, Low Tide Media","$14.49, $22.50","$28.98, $50.00","16,715, 24,934","Slim fit jeans - black, Lace-up boots - resin coffee","Slim fit jeans - black, Lace-up boots - resin coffee","1, 1","ZO0535105351, ZO0403504035","0, 0","$28.98, $50.00","$28.98, $50.00","0, 0","ZO0535105351, ZO0403504035","$79","$79.00",2,2,order,jackson
W4OFm5oBSErIf1UmNZ69,"kibana_sample_data_ecommerce","-","Women's Shoes","Women's Shoes",EUR,Elyssa,Elyssa,"Elyssa Bryant","Elyssa Bryant",FEMALE,27,Bryant,Bryant,"(empty)",Wednesday,2,"elyssa@bryant-family.zzz","sample_ecommerce","New York","North America",US,"POINT (-74 40.8)","New York","Pyramidustries, Tigress Enterprises","Pyramidustries, Tigress Enterprises","Nov 19, 2025 @ 12:01:41.000",568308,"sold_product_568308_15499, sold_product_568308_17990","sold_product_568308_15499, sold_product_568308_17990","$65.00, $24.98","$65.00, $24.98","Women's Shoes, Women's Shoes","Women's Shoes, Women's Shoes","Dec 14, 2016 @ 12:01:41.000, Dec 14, 2016 @ 12:01:41.000","0, 0","0, 0","Pyramidustries, Tigress Enterprises","Pyramidustries, Tigress Enterprises","$29.91, $12.99","$65.00, $24.98","15,499, 17,990","Over-the-knee boots - black, Ankle boots - cognac","Over-the-knee boots - black, Ankle boots - cognac","1, 1","ZO0138701387, ZO0024600246","0, 0","$65.00, $24.98","$65.00, $24.98","0, 0","ZO0138701387, ZO0024600246","$90","$90.00",2,2,order,elyssa
SIOFm5oBSErIf1UmL5XX,"kibana_sample_data_ecommerce","-","Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes",EUR,Yasmine,Yasmine,"Yasmine Stokes","Yasmine Stokes",FEMALE,43,Stokes,Stokes,"(empty)",Wednesday,2,"yasmine@stokes-family.zzz","sample_ecommerce","-",Asia,SA,"POINT (45 25)","-","Pyramidustries, Tigress Enterprises","Pyramidustries, Tigress Enterprises","Nov 19, 2025 @ 11:53:02.000",568301,"sold_product_568301_20011, sold_product_568301_20152","sold_product_568301_20011, sold_product_568301_20152","$33.00, $42.00","$33.00, $42.00","Women's Clothing, Women's Shoes","Women's Clothing, Women's Shoes","Dec 14, 2016 @ 11:53:02.000, Dec 14, 2016 @ 11:53:02.000","0, 0","0, 0","Pyramidustries, Tigress Enterprises","Pyramidustries, Tigress Enterprises","$15.84, $22.25","$33.00, $42.00","20,011, 20,152","Jumpsuit - black, Platform boots - dark blue","Jumpsuit - black, Platform boots - dark blue","1, 1","ZO0146401464, ZO0014700147","0, 0","$33.00, $42.00","$33.00, $42.00","0, 0","ZO0146401464, ZO0014700147","$75","$75.00",2,2,order,yasmine
P4OFm5oBSErIf1UmK5E2,"kibana_sample_data_ecommerce","-","Men's Clothing, Men's Accessories","Men's Clothing, Men's Accessories",EUR,Recip,Recip,"Recip Salazar","Recip Salazar",MALE,10,Salazar,Salazar,"(empty)",Wednesday,2,"recip@salazar-family.zzz","sample_ecommerce",Istanbul,Asia,TR,"POINT (29 41)",Istanbul,Elitelligence,Elitelligence,"Nov 19, 2025 @ 11:47:17.000",568292,"sold_product_568292_23627, sold_product_568292_11149","sold_product_568292_23627, sold_product_568292_11149","$24.98, $10.99","$24.98, $10.99","Men's Clothing, Men's Accessories","Men's Clothing, Men's Accessories","Dec 14, 2016 @ 11:47:17.000, Dec 14, 2016 @ 11:47:17.000","0, 0","0, 0","Elitelligence, Elitelligence","Elitelligence, Elitelligence","$12.49, $5.06","$24.98, $10.99","23,627, 11,149","Slim fit jeans - grey, Sunglasses - black","Slim fit jeans - grey, Sunglasses - black","1, 1","ZO0534205342, ZO0599605996","0, 0","$24.98, $10.99","$24.98, $10.99","0, 0","ZO0534205342, ZO0599605996","$35.97","$35.97",2,2,order,recip
